date,recapture,LU,species,sex,wing photo,Bm (g),FA (mm),tailL (mm),earL (mm),HF (mm),TL (mm),Wing area cm2,Wingspan (cm),Wing loading,Aspect ratio
30/06/2016,0.00,LU3,Carollia perspicillata,M,223032246,16.5,42.2,7.5,17,30.54,67.86,150.44,31.2,1.07594389789949,6.47061951608615
30/06/2016,0.00,LU3,Carollia perspicillata,M,225338588,42.64,32.48,9.5,16.5,32.48,68.28,164,31.4,2.5506,6.0119512195122
30/06/2016,1.00,LU3,Carollia perspicillata,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/06/2016,0.00,LU3,Desmodus rotundus,M,111206649,30.5,60.18,0,15.9,41.5,79.38,186,37.8,1.60862903225806,7.68193548387097
30/06/2016,0.00,LU3,Desmodus rotundus,M,121337518,27.6,59.4,0,NA,41.92,75.76,221.6,38,1.22182310469314,6.51624548736462
30/06/2016,0.00,LU3,Desmodus rotundus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/06/2016,0.00,LU3,Desmodus rotundus,NA,122054852,37.3,60.82,0,17.64,43.18,80.85,208.8,36.4,1.75245689655172,6.3455938697318
30/06/2016,0.00,LU3,Gardnerycteris crenulatum,M,184219398,14.1,50.66,17,24.5,33.96,77.18,184.2,36.2,0.750928338762215,7.114223669924
30/06/2016,0.00,LU3,Micronycteris sp.,F,124453345,6.4,38.68,12,20.34,28.32,56.9,83,22,0.756433734939759,5.83132530120482
30/06/2016,0.00,LU3,Phyllostomus elongatus,F,204043692,43.4,68.16,17,24,41.74,100.64,324.2,47,1.31324491054904,6.81369524984577
30/06/2016,0.00,LU3,Phyllostomus elongatus,F,204610576,43,69.52,16,21.5,42.06,97.66,297.2,44.8,1.41934724091521,6.75316285329744
30/06/2016,0.00,LU3,Sturnira lillium,F,193603199,18.8,42.32,0,14,28.44,59.08,138.4,31.2,1.33257225433526,7.03352601156069
30/06/2016,0.00,LU3,Sturnira lillium,F,224227548,17.8,43.24,0,12.5,28.34,60.28,161.8,32.2,1.07922126081582,6.40815822002472
30/06/2016,0.00,LU3,Sturnira lillium,F,225903997,24.4,42.76,0,14.5,27.3,67.64,149.4,30,1.6021686746988,6.02409638554217
01/07/2016,0.00,LU1,Anoura sp,F,112214004,12.5,40.26,0,11.16,25.24,62.84,140.6,30.8,0.872155049786629,6.7470839260313
01/07/2016,0.00,LU1,Artibeus planirostris,F,193322308,57.7,63.9,0,17.54,40.62,88.08,329.6,47.4,1.71734526699029,6.81662621359223
01/07/2016,0.00,LU1,Artibeus planirostris,M,194634682,53.4,67.3,0,18.42,40.96,84.22,327,47.8,1.602,6.98727828746177
01/07/2016,0.00,LU1,Artibeus planirostris,F,210142925,50.7,62.7,0,15.48,36.88,86.76,294.8,45.2,1.68713364993216,6.93025780189959
01/07/2016,0.00,LU1,Artibeus planirostris,M,NA,48.3,65.4,0,14.16,41.7,83.02,NA,NA,NA,NA
01/07/2016,0.00,LU1,Artibeus planirostris,F,222216923,59.9,67.26,0,17.18,38.78,86.62,362.6,49.2,1.62057087699945,6.67578599007171
01/07/2016,0.00,LU1,Artibeus planirostris,M,225032888,45.6,60.24,0,15.9,35.34,85.7,293.4,43.2,1.52466257668712,6.36073619631902
01/07/2016,0.00,LU1,Artibeus planirostris,F,225604952,54.5,67.36,0,13.98,40.52,87.46,327.8,47.6,1.63100976205003,6.91201952410006
01/07/2016,0.00,LU1,Carollia perspicillata,F,195255335,14.3,41.02,5.5,13.72,30.26,62.42,138.8,30.2,1.01068443804035,6.57089337175792
01/07/2016,0.00,LU1,Carollia perspicillata,F,2000520041,17.9,40.22,9.5,15.3,27.18,67.9,145.4,30.2,1.20769601100413,6.2726272352132
01/07/2016,0.00,LU1,Carollia perspicillata,F,202259656,15,40.9,6,15.28,29.4,62.76,149.8,29.4,0.982309746328438,5.77009345794392
01/07/2016,0.00,LU1,Glossophaga soricina,M,110406749,8.5,30.82,6,10.92,23.28,61.94,95.6,24.8,0.872228033472803,6.43347280334728
01/07/2016,0.00,LU1,Phyllostomus discolor,M,221532562,37,65.92,14,16.94,31.98,96.86,267.2,44.2,1.35842065868263,7.31152694610779
01/07/2016,0.00,LU1,Uroderma bilobatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/07/2016,0.00,LU4,Artibeus lituratus,F,203505470,45.7,66.7,0,16.26,41.56,87.68,328.4,47.4,1.36515529841657,6.8415347137637
03/07/2016,0.00,LU4,Artibeus lituratus,M,244339359,54.3,71.4,0,18,42.3,92.26,348.4,49.6,1.52894087256028,7.06130884041332
03/07/2016,0.00,LU4,Artibeus planirostris,F,195147731,52.1,66.98,0,18.58,40.26,87.34,351.4,48,1.45447068867388,6.55663062037564
03/07/2016,0.00,LU4,Artibeus planirostris,F,195751300,52,67.64,0,16.36,38.82,86.34,323.8,45.8,1.57541692402718,6.47819641754169
03/07/2016,0.00,LU4,Artibeus planirostris,F,200245371,37.9,64.34,0,14.2,40.98,80.92,292.4,43,1.27154240766074,6.32352941176471
03/07/2016,0.00,LU4,Artibeus planirostris,M,204105275,45.5,67.34,0,18.04,35.48,82.18,294.6,44.2,1.51512219959267,6.63150033944331
03/07/2016,0.00,LU4,Artibeus planirostris,F,204819752,44,64.88,0,15.4,38.22,76.12,302.8,46.2,1.42549537648613,7.04900924702774
03/07/2016,0.00,LU4,Artibeus planirostris,F,223657216,47.7,68.18,0,15,41.18,82.18,354.8,48.6,1.31887542277339,6.65715896279594
03/07/2016,0.00,LU4,Artibeus planirostris,F,224206962,50.7,64.56,0,15.88,39.16,87.48,337,46.4,1.47586646884273,6.38860534124629
03/07/2016,0.00,LU4,Artibeus planirostris,M,224702014,41.8,64.82,0,9.04,40.46,80.92,310.4,45.6,1.3210631443299,6.69896907216495
03/07/2016,0.00,LU4,Artibeus planirostris,F,225755297,41.7,63.18,0,12.5,40.04,82.98,279.4,43.2,1.46412670007158,6.67945597709377
03/07/2016,0.00,LU4,Artibeus planirostris,M,234409708,51.3,61.04,0,15.48,40.36,87.98,259.8,43.2,1.93707852193995,7.18337182448037
03/07/2016,0.00,LU4,Artibeus planirostris,M,240753712,48.4,64.03,0,19,41.64,83.48,278.2,44.2,1.70670021567218,7.02242990654206
03/07/2016,0.00,LU4,Artibeus planirostris,F,243311752,56.7,69.4,0,18,43.66,93.54,329,45.6,1.69065957446809,6.32024316109423
03/07/2016,0.00,LU4,Artibeus planirostris,M,245658934,51.1,63.9,0,16.5,37.58,84.18,296,47.2,1.69355067567568,7.52648648648649
03/07/2016,0.00,LU4,Artibeus planirostris,F,12153777,53.9,64.04,0,17.5,38.12,86.58,298.4,45,1.77198056300268,6.78619302949062
03/07/2016,0.00,LU4,Carollia perspicillata,M,23547133,17.5,42.96,6.5,9.9,31.08,67.4,160,32,1.07296875,6.4
03/07/2016,0.00,LU4,Carollia perspicillata,F,235929412,16,41.16,7,15.5,29.7,67.78,154.6,31.4,1.01526520051746,6.37749029754204
03/07/2016,0.00,LU4,Carollia perspicillata,F,242450116,16.1,43.46,8,16.5,29.6,69.76,185,33.8,0.853735135135135,6.17535135135135
03/07/2016,0.00,LU4,Carollia perspicillata,F,243750915,16,43.68,7,19,30.12,66.68,164.4,31.2,0.954744525547445,5.92116788321168
03/07/2016,0.00,LU4,Carollia perspicillata,F,244917551,17.7,42.58,8,15,31.46,67.96,162.6,32.4,1.06787822878229,6.45608856088561
03/07/2016,0.00,LU4,Carollia perspicillata,M,11235881,17.6,41.58,8.5,16.5,30.1,70.9,167.4,31.4,1.03139784946237,5.88984468339307
03/07/2016,0.00,LU4,Sturnira lillium,F,225228189,21.6,40.88,0,11.2,27.58,61.65,138.4,30.2,1.53104046242775,6.58988439306358
03/07/2016,0.00,LU4,Sturnira lillium,F,235014432,19.1,39.06,0,12.54,39.66,60.92,140.6,30.8,1.33265291607397,6.7470839260313
03/07/2016,0.00,LU4,Sturnira lillium,F,240410416,14.1,39.64,0,16,41.64,54.9,115.4,27.6,1.19862218370884,6.60103986135182
03/07/2016,0.00,LU4,Sturnira lillium,M,241302589,19.9,42.96,0,15,28.36,61.3,138.8,30.2,1.40647694524496,6.57089337175792
03/07/2016,0.00,LU4,Sturnira lillium,F,242115195,19.3,41.58,0,14,27.02,59.92,156.2,31.6,1.21211907810499,6.39282970550576
03/07/2016,0.00,LU4,Sturnira lillium,M,245257656,19.3,42.5,0,14,27.26,60.82,138.8,29.2,1.36407060518732,6.14293948126801
03/07/2016,0.00,LU4,Sturnira lillium,F,827895,20.9,41.12,0,13,27.74,57.02,142,30.4,1.4438661971831,6.50816901408451
03/07/2016,0.00,LU4,Sturnira lillium,F,12830369,18.2,42.3,0,13,30.24,59.46,152.8,31.6,1.16846858638743,6.53507853403141
03/07/2016,0.00,LU4,Sturnira lillium,F,10048043,19.1,40.6,0,11.5,27.74,63.76,138.4,29.6,1.35383670520231,6.33063583815029
03/07/2016,0.00,LU4,Uroderma bilobatum,M,NA,19.5,46.76,0,15.5,27.36,62.34,NA,NA,NA,NA
03/07/2016,0.00,LU4,Uroderma bilobatum,F,11729188,16.2,44.16,0,12.5,28.3,64.24,164.6,33.2,0.9655042527339,6.69647630619684
04/07/2016,0.00,LU2 ,Artibeus planirostris,F,193309569,44.1,67.02,0,18.5,41.24,85.12,308.6,46,1.40188269604666,6.85677252106286
04/07/2016,0.00,LU2 ,Artibeus planirostris,M,211954907,57.7,65.54,0,17,39.1,89.88,330.4,45.6,1.71318704600484,6.29346246973366
04/07/2016,0.00,LU2 ,Artibeus planirostris,M,213748192,43.7,63.94,0,18.5,38.68,80.94,321.6,46.2,1.33301305970149,6.63694029850746
04/07/2016,0.00,LU2 ,Artibeus planirostris,M,220644232,59.3,64.66,0,19.5,41.4,83.2,291.2,44.2,1.99770947802198,6.70892857142857
04/07/2016,0.00,LU2 ,Artibeus planirostris,F,223907450,50.7,65.44,0,20.5,39.64,85.32,325.2,46.2,1.52941881918819,6.56346863468635
04/07/2016,0.00,LU2 ,Artibeus planirostris,F,235031474,52.8,66.58,0,19.5,38.5,87.46,328,46.2,1.57917073170732,6.50743902439024
04/07/2016,0.00,LU2 ,Artibeus planirostris,M,235414694,46.5,64.22,0,17,40.36,78.42,275.4,41.6,1.65637254901961,6.28380537400145
04/07/2016,0.00,LU2 ,Artibeus planirostris,F,235929611,64.5,67.04,0,18,40.46,90.08,335,48,1.88879104477612,6.87761194029851
04/07/2016,0.00,LU2 ,Artibeus planirostris,F,240928503,43.8,63.98,0,19.5,37.06,80.24,308.8,45,1.39144430051813,6.55764248704663
04/07/2016,0.00,LU2 ,Artibeus planirostris,F,241239516,53.4,66.4,0,16.5,41.82,87.98,365.6,47.8,1.43286105032823,6.24956236323851
04/07/2016,0.00,LU2 ,Artibeus planirostris,F,241604979,54.2,67.38,0,17,41.76,84.94,325,47,1.63600615384615,6.79692307692308
04/07/2016,0.00,LU2 ,Carollia perspicillata,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/07/2016,0.00,LU2 ,Carollia perspicillata,M,240440821,15.5,41.08,9.5,17,29.12,69.14,148.6,30.4,1.02325033647376,6.21911170928668
05/07/2016,0.00,LU5,Artibeus lituratus,M,185209118,65,69.62,0,18.5,40.58,89.82,390.4,51.6,1.63332479508197,6.82008196721312
05/07/2016,0.00,LU5,Artibeus planirostris,F,193303206,48.7,61.24,0,16.5,36.22,81.38,263.4,43.4,1.81376993166287,7.15094912680334
05/07/2016,0.00,LU5,Artibeus planirostris,F,205022398,57.2,64.82,0,20,39.62,87.94,309.2,43.6,1.81478654592497,6.14799482535576
05/07/2016,0.00,LU5,Artibeus planirostris,M,231551483,48.7,67.42,0,18.5,41.2,82.52,315.8,47.8,1.51281507283091,7.23508549715009
05/07/2016,0.00,LU5,Artibeus planirostris,M,242141749,48.2,60.6,0,19,36.64,79.56,279.4,44.2,1.69234788833214,6.99226914817466
05/07/2016,0.00,LU5,Artibeus planirostris,F,241947083,53.6,65.7,0,18,39.44,83.06,319.6,45.8,1.64523153942428,6.56332916145181
05/07/2016,0.00,LU5,Artibeus planirostris,F,242535046,46.2,65.78,0,17,36.26,84.48,307.6,46.6,1.47341352405722,7.05968790637191
05/07/2016,0.00,LU5,Artibeus planirostris,M,NA,57.7,66.12,0,18,42.42,84.02,NA,NA,NA,NA
05/07/2016,0.00,LU5,Artibeus planirostris,M,245559210,57.2,68.48,0,18,39.78,82.28,358,48,1.56740782122905,6.43575418994413
05/07/2016,0.00,LU5,Artibeus planirostris,F,10443669,50.7,64.44,0,17,39,84.8,295.8,43.2,1.68143002028398,6.30912778904665
05/07/2016,0.00,LU5,Carollia castanea,M,192159848,11.6,35.32,8.5,14,25.2,60.8,129.2,28,0.88077399380805,6.06811145510836
05/07/2016,0.00,LU5,Carollia perspicillata,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/07/2016,0.00,LU5,Carollia perspicillata,F,185810627,15.6,41.74,7,15.5,29.94,64.48,162.2,31.6,0.943501849568434,6.15635018495684
05/07/2016,0.00,LU5,Carollia perspicillata,F,192727309,18.1,43.72,7.5,14.5,32.76,66.74,154.4,29.8,1.15000647668394,5.75155440414508
05/07/2016,0.00,LU5,Carollia perspicillata,F,201058254,16.5,42.54,8,16.5,28.7,67.72,166.4,31.2,0.972746394230769,5.85
05/07/2016,0.00,LU5,Carollia perspicillata,F,201735140,18.4,42.28,8,16.5,30.28,67.54,166.6,31.8,1.08345738295318,6.06986794717887
05/07/2016,0.00,LU5,Carollia perspicillata,M,205500903,15.2,42.62,6,17,31.84,61,156.8,31.6,0.950969387755102,6.36836734693878
05/07/2016,0.00,LU5,Carollia perspicillata,F,220322346,18.5,41.24,9.5,17,29.32,67.82,158.8,31.4,1.14285264483627,6.2088161209068
05/07/2016,0.00,LU5,Carollia perspicillata,F,220840006,18.8,42.46,7.5,17,30.02,67.78,158.4,30.4,1.16431818181818,5.83434343434343
05/07/2016,0.00,LU5,Carollia perspicillata,M,221256246,17.5,43.58,8,17,31.78,66.56,156.8,29.4,1.09486607142857,5.5125
05/07/2016,0.00,LU5,Carollia perspicillata,F,221954169,16.7,41.86,8,18,36.28,66.46,179.6,34.4,0.91217706013363,6.58886414253898
05/07/2016,0.00,LU5,Carollia perspicillata,F,224653424,17.9,42.76,7,16.5,30.2,64.2,175.6,33,0.99999430523918,6.20159453302961
05/07/2016,0.00,LU5,Carollia perspicillata,F,225559200,16.5,42.32,5.5,17,29.14,63.92,163.4,31.2,0.990605875152999,5.95740514075887
05/07/2016,0.00,LU5,Carollia perspicillata,F,230311486,15.6,41.9,7,16,30.24,66.82,161.6,30.2,0.94700495049505,5.64381188118812
05/07/2016,0.00,LU5,Carollia perspicillata,F,230955670,16.3,43.46,6.5,16,30.22,64.04,177.6,33,0.90035472972973,6.13175675675676
05/07/2016,0.00,LU5,Carollia perspicillata,F,232226834,16.5,40.2,8.5,17.5,30.4,68.98,153.2,30,1.05656005221932,5.87467362924282
05/07/2016,0.00,LU5,Carollia perspicillata,F,232720025,17.4,44.84,8,17,32.26,70.3,190,33,0.898389473684211,5.73157894736842
05/07/2016,0.00,LU5,Carollia perspicillata,M,241130096,16,44.84,7.5,14,29.64,62.6,158.4,31,0.990909090909091,6.06691919191919
05/07/2016,0.00,LU5,Carollia perspicillata,M,243213662,14.1,40.84,8.5,16.5,28.76,64.86,141.6,31,0.976843220338983,6.78672316384181
05/07/2016,0.00,LU5,Carollia perspicillata,M,243554093,17.1,42.28,7.5,16,27.84,68.98,169.6,32.2,0.989097877358491,6.11344339622642
05/07/2016,0.00,LU5,Carollia perspicillata,F,243955255,16.7,40.18,6.5,17.5,29.94,67.12,168.4,33,0.972844418052257,6.4667458432304
05/07/2016,1.00,LU5,Carollia perspicillata,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/07/2016,0.00,LU5,Carollia perspicillata,F,245210854,17.7,44.64,7,17.5,29.06,67.86,178.2,33.2,0.974393939393939,6.18540965207632
05/07/2016,0.00,LU5,Carollia perspicillata,M,10108814,17.6,40.56,6,15,30.16,62.58,164.2,31.8,1.05149817295981,6.15858708891596
05/07/2016,0.00,LU5,Carollia perspicillata,M,10828955,14.5,42.76,5,16.5,30.72,61.6,156.8,30.8,0.907174744897959,6.05
05/07/2016,0.00,LU5,Desmodus rotundus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/07/2016,0.00,LU5,Desmodus rotundus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/07/2016,0.00,LU5,Lophostoma brasiliense,M,93702423,10.5,38.28,8.5,21,29.64,59.88,131.6,26.8,0.782712765957447,5.45775075987842
05/07/2016,0.00,LU5,Tonatia saurophila,M,95041812,28.4,58.1,20.5,25,42.1,90.52,271.6,40,1.02578792341679,5.89101620029455
06/07/2016,0.00,LU3,Artibeus planirostris,M,21534816,47,64.52,0,15.5,40.04,84.06,306.2,44.4,1.50578053559765,6.43814500326584
06/07/2016,0.00,LU3,Artibeus planirostris,F,224551813,54,65.1,0,20,39.58,86.16,292.2,44.2,1.8129363449692,6.68596851471595
06/07/2016,0.00,LU3,Artibeus planirostris,F,234610683,58.6,65.88,0,17,42.76,89.02,323.2,43.8,1.77866955445545,5.93576732673267
06/07/2016,0.00,LU3,Carollia perspicillata,F,195451533,18.5,41.82,7,18,30.1,65.8,155.6,31,1.16635604113111,6.17609254498715
06/07/2016,0.00,LU3,Carollia perspicillata,F,200219107,17.1,41.36,8,16,30.06,65.06,159.4,32.2,1.05239021329987,6.50464240903388
06/07/2016,0.00,LU3,Carollia perspicillata,F,220148882,16.1,40.62,7,17.5,29.28,63.12,141,30.6,1.12014893617021,6.64085106382979
06/07/2016,0.00,LU3,Carollia perspicillata,F,230112553,15.9,43.82,7,16.5,32.24,63.46,160,30.2,0.97486875,5.70025
06/07/2016,0.00,LU3,Micronycteris sp.,F,101636545,6.7,38.88,10.5,19.78,27.54,55.32,95.8,23.8,0.686085594989562,5.91273486430063
06/07/2016,0.00,LU3,Phyllostomus elongatus,M,192706797,37.8,66.62,17,24.5,41.34,96.48,311.2,47.8,1.19157455012853,7.34203084832905
06/07/2016,0.00,LU3,Phyllostomus elongatus,F,193532904,48.9,71.6,16.5,24.5,43.78,101.42,325.2,46.6,1.47511992619926,6.67761377613776
06/07/2016,0.00,LU3,Phyllostomus elongatus,M,221049467,36.6,67.68,17.5,25.5,43.6,93.3,310.2,45,1.15746615087041,6.52804642166344
06/07/2016,0.00,LU3,Phyllostomus elongatus,F,235424192,42.5,70.68,14.5,22,44.08,97.6,296.8,45,1.40473382749326,6.82277628032345
06/07/2016,0.00,LU3,Sturnira lillium,M,225230392,21.7,42.89,0,13.5,26.08,62.84,145.8,30.8,1.46006172839506,6.50644718792867
07/07/2016,0.00,LU1,Artibeus lituratus,F,200547291,67.2,74.52,0,16,42.2,102.1,411.6,53.6,1.60163265306122,6.97998056365403
07/07/2016,0.00,LU1,Artibeus planirostris,M,185925209,50.8,62.5,0,19,38.92,84.24,310.4,44.6,1.60550257731959,6.40837628865979
07/07/2016,0.00,LU1,Artibeus planirostris,F,193929867,59.2,67.46,0,18.5,41.22,90.86,321.2,47.8,1.8080697384807,7.1134495641345
07/07/2016,0.00,LU1,Artibeus planirostris,F,194437093,49.5,65.76,0,16.5,38.8,88.74,345.2,47.4,1.40670625724218,6.50857473928158
07/07/2016,0.00,LU1,Artibeus planirostris,M,195724929,40.9,61.96,0,18,35.42,79.54,279.6,43.8,1.43501072961373,6.86137339055794
07/07/2016,0.00,LU1,Artibeus planirostris,F,205032969,55.9,66.66,0,20,42.36,89.6,338.4,48,1.62050531914894,6.80851063829787
07/07/2016,0.00,LU1,Artibeus planirostris,F,220015338,56.4,64.9,0,17.5,38.82,88.76,331.6,46.2,1.66852834740651,6.43679131483715
07/07/2016,0.00,LU1,Carollia perspicillata,F,223929771,17.8,42.64,7.5,15.5,30.86,68.36,170.2,32.2,1.02595769682726,6.09189189189189
07/07/2016,0.00,LU1,Phyllostomus discolor,F,193502094,34.7,64.68,13,13,38.92,94.5,250.4,41.2,1.35945287539936,6.77891373801917
07/07/2016,0.00,LU1,Phyllostomus discolor,M,201241988,34.15,66.06,7,19.5,35.22,86.46,276.6,44.8,1.21117678958785,7.25610990600145
08/07/2016,0.00,LU5,Artibeus planirostris,F,190941374,58.9,65.44,0,19.5,40.26,84.2,323.8,46.2,1.78446263125386,6.59184681902409
08/07/2016,0.00,LU5,Artibeus planirostris,F,194024153,42.2,65.8,0,18,41.58,81.2,312.6,45.6,1.32431861804223,6.65182341650672
08/07/2016,0.00,LU5,Artibeus planirostris,F,203343813,51.7,63.54,0,15.5,38.3,87.86,298,43.2,1.70193624161074,6.26255033557047
08/07/2016,0.00,LU5,Artibeus planirostris,M,NA,51.3,65.54,0,18.5,37.16,81.56,336.6,47.4,1.49510695187166,6.67486631016043
08/07/2016,0.00,LU5,Carollia castanea,F,184630788,10.9,36.64,6,14.5,26.62,55.1,126.2,27,0.84729793977813,5.77654516640254
08/07/2016,0.00,LU5,Carollia castanea,F,190351206,11.2,35.56,8,13.5,25.64,58.84,123.6,26.6,0.888932038834951,5.72459546925566
08/07/2016,0.00,LU5,Carollia perspicillata,F,193015024,16.6,40.88,7,16,30.24,64.52,139.6,29,1.16651862464183,6.0243553008596
08/07/2016,0.00,LU5,Carollia perspicillata,M,193435219,20.3,42.26,7,17,30.7,66.36,159.4,30.4,1.2493287327478,5.79774153074028
08/07/2016,0.00,LU5,Carollia perspicillata,M,195518483,15.4,40.56,6,15,31.48,62.06,157.2,31.2,0.961030534351145,6.19236641221374
08/07/2016,0.00,LU5,Carollia perspicillata,M,200136267,15.8,42.42,7,16,30.46,65.46,152,30.2,1.01972368421053,6.00026315789474
08/07/2016,0.00,LU5,Carollia perspicillata,M,203913645,17,41.46,6,14.5,29.86,63.82,171,31.2,0.975263157894737,5.69263157894737
08/07/2016,0.00,LU5,Carollia perspicillata,M,212833638,17.2,41.3,7,18,30.02,66.14,145.4,27.4,1.16046767537827,5.16341127922971
08/07/2016,0.00,LU5,Carollia perspicillata,M,213543627,14.2,42.48,6,16.5,30.78,62.38,140.4,28.6,0.992179487179487,5.82592592592593
08/07/2016,0.00,LU5,Carollia perspicillata,F,NA,16.3,42.68,7,16.5,29.64,61.54,150.2,29.8,1.06460053262317,5.91238348868176
08/07/2016,0.00,LU5,Phyllostomus elongatus,F,202820678,40.9,67.84,14,23,42.98,93.7,322.6,46.1,1.24373527588345,6.58775573465592
08/07/2016,0.00,LU3,Glossophaga soricina,F,123215424,8.2,35.26,11.5,10.8,22.52,63.3,84,24.2,0.957642857142857,6.97190476190476
